	KO definition	gene name	counts
1359	histidine-rich glycoprotein	['NODE_56578_length_997_cov_553.798742_g17185_i0.p2']	1
1358	histamine receptor H1	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	1
1355	high-mobility group nucleosome-binding domain-containing protein 5	['NODE_22034_length_2744_cov_650.165494_g2798_i7.p1']	1
1354	high-affinity iron transporter	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1']	1
1353	high affinity immunoglobulin epsilon receptor subunit alpha	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1352	hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2']	1
1351	heterogeneous nuclear ribonucleoprotein U	['NODE_59016_length_916_cov_1004.394044_g18529_i0.p1']	1
1350	heterogeneous nuclear ribonucleoprotein R	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1']	1
1349	heterogeneous nuclear ribonucleoprotein Q	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1']	1
1348	heterogeneous nuclear ribonucleoprotein M	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1']	1
1347	heterogeneous nuclear ribonucleoprotein G	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1']	1
1346	heterogeneous nuclear ribonucleoprotein F/H	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1']	1
1345	heterogeneous nuclear ribonucleoprotein C1/C2	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1']	1
1344	heterogeneous nuclear ribonucleoprotein A2/B1	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1']	1
1339	hepatocyte growth factor-regulated tyrosine kinase substrate	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1']	1
1380	huntingtin-associated protein 1	['NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	1
1385	hyphal wall protein	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2']	1
712	amino-acid N-acetyltransferase [EC:2.3.1.1]	['NODE_52587_length_1145_cov_187.568058_g15216_i0.p2']	1
1388	hypoxia-inducible factor prolyl 4-hydroxylase [EC:1.14.11.-]	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1']	1
1429	internexin neuronal intermediate filament protein, alpha	['NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	1
1425	interleukin 18 receptor 1	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1424	interleukin 1 receptor-like 1	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1423	interleukin 1 receptor type II	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1422	interleukin 1 receptor type I	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1421	interleukin 1 receptor accessory protein-like	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1420	interferon-induced helicase C domain-containing protein 1 [EC:3.6.4.13]	['NODE_18852_length_3010_cov_487.663296_g10_i5081.p1']	1
1419	interference hedgohog	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1418	intercellular adhesion molecule 5	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1417	intelectin	['NODE_6252_length_5011_cov_712.653986_g1467_i0.p1']	1
1416	integrin beta 6	['NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	1
1415	integrin beta 5	['NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	1
1414	integrin beta 3	['NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	1
1413	integrin beta 2	['NODE_74236_length_514_cov_289.528662_g30381_i0.p2']	1
1410	insulin-like growth factor 2 mRNA-binding protein 3	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1']	1
1409	insulin-like growth factor 2 mRNA-binding protein 2	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1']	1
1408	insulin-like growth factor 2 mRNA-binding protein 1	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1']	1
1406	insulin gene enhancer protein ISL-2	['NODE_70819_length_582_cov_601.601113_g27209_i0.p1']	1
1405	insulin gene enhancer protein ISL-1	['NODE_70819_length_582_cov_601.601113_g27209_i0.p1']	1
1404	inositol phosphorylceramide synthase catalytic subunit [EC:2.7.1.227]	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	1
1396	immunoglobulin superfamily, member 11	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1395	immunoglobulin superfamily member 9B	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1393	immunoglobulin superfamily containing leucine-rich repeat protein	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1392	immunoglobulin superfamily DCC subclass member 4	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1391	immunoglobulin superfamily DCC subclass member 3	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1390	immunity protein, SdpI family	['NODE_29204_length_2258_cov_432.055079_g10_i7406.p1']	1
1389	immune costimulatory protein B7-H4	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1337	hepatitis A virus cellular receptor 1	['NODE_56578_length_997_cov_553.798742_g17185_i0.p1']	1
1335	heparanase [EC:3.2.1.166]	['NODE_60195_length_876_cov_639.110444_g19232_i0.p1']	1
1333	hemolysin A	['NODE_67158_length_672_cov_9.523052_g24107_i0.p1']	1
1332	hemicentin	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1275	gap junction delta-4 protein	['NODE_6252_length_5011_cov_712.653986_g1467_i0.p2']	1
1274	gap junction delta-2 protein	['NODE_51256_length_1198_cov_554.492641_g9873_i1.p1']	1
1272	gap junction alpha-8 protein	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1']	1
1271	gap junction alpha-10 protein	['NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	1
1270	galectin-3	['NODE_33339_length_2018_cov_1002.840000_g8431_i2.p4']	1
1269	galactolipid galactosyltransferase [EC:2.4.1.184]	['NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	1
1265	fructan beta-fructosidase [EC:3.2.1.80]	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1']	1
1264	four and a half LIM domains protein 5	['NODE_70819_length_582_cov_601.601113_g27209_i0.p1']	1
1263	four and a half LIM domains protein 3	['NODE_70819_length_582_cov_601.601113_g27209_i0.p1']	1
1262	four and a half LIM domains protein 2	['NODE_70819_length_582_cov_601.601113_g27209_i0.p1']	1
1261	four and a half LIM domains protein 1	['NODE_70819_length_582_cov_601.601113_g27209_i0.p1']	1
1260	formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2']	1
1259	formin-binding protein 4	['NODE_56578_length_997_cov_553.798742_g17185_i0.p4']	1
1258	formin 2	['NODE_56578_length_997_cov_553.798742_g17185_i0.p4']	1
1256	formic-like protein	['NODE_56578_length_997_cov_553.798742_g17185_i0.p4']	1
1255	formate-nitrite transporter family protein	['NODE_6252_length_5011_cov_712.653986_g1467_i0.p2']	1
1247	fms-related tyrosine kinase 3 [EC:2.7.10.1]	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1246	flavastacin [EC:3.4.24.76]	['NODE_56699_length_993_cov_366.912632_g11784_i3.p1']	1
1244	filamin-binding LIM protein 1	['NODE_70819_length_582_cov_601.601113_g27209_i0.p1']	1
1240	fibronectin-binding protein B	['NODE_33339_length_2018_cov_1002.840000_g8431_i2.p4']	1
1238	fibronectin type III domain-containing protein 3	['NODE_40297_length_1668_cov_702.177231_g1000_i10.p1']	1
1237	fibronectin type III domain-containing protein 1	['NODE_56578_length_997_cov_553.798742_g17185_i0.p1']	1
1236	fibronectin type III and SPRY domain-containing protein 1	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p2']	1
1235	fibronectin type 3 and ankyrin repeat domains protein 1	['NODE_52587_length_1145_cov_187.568058_g15216_i0.p1']	1
1234	fibrocystin	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1']	1
1233	fibroblast growth factor receptor-like 1	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1231	fibroblast growth factor receptor 3 [EC:2.7.10.1]	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1276	gem associated protein 5	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1277	general transcription factor 3C polypeptide 2	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1278	general transcription factor 3C polypeptide 5 (transcription factor C subunit 1)	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	1
1310	guanine nucleotide exchange factor VAV	['NODE_51256_length_1198_cov_554.492641_g9873_i1.p1']	1
1331	hemerythrin	['NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	1
1330	heme a synthase [EC:1.17.99.9]	['NODE_6252_length_5011_cov_712.653986_g1467_i0.p7']	1
1327	heat shock protein HtpX [EC:3.4.24.-]	['NODE_22034_length_2744_cov_650.165494_g2798_i7.p2']	1
1326	heat shock protein 90kDa beta	['NODE_22034_length_2744_cov_650.165494_g2798_i7.p1']	1
1320	gustatory receptor	['NODE_22034_length_2744_cov_650.165494_g2798_i7.p2']	1
1318	guanine nucleotide-binding protein subunit beta-like protein 1	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1317	guanine nucleotide-binding protein subunit beta-5	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1316	guanine nucleotide-binding protein subunit beta-4	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1315	guanine nucleotide-binding protein subunit beta-2-like 1 protein	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1313	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1312	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1311	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1309	growth arrest-specific protein 2	['NODE_51256_length_1198_cov_554.492641_g9873_i1.p1']	1
1284	glucagon-like peptide 2 receptor	['NODE_6252_length_5011_cov_712.653986_g1467_i0.p2']	1
1307	growth arrest and DNA-damage-inducible protein	['NODE_75540_length_489_cov_626.291480_g31640_i0.p1']	1
1306	groucho	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1305	grixazone synthase / o-aminophenol oxidase [EC:1.10.3.15 1.10.3.4]	['NODE_61696_length_828_cov_546.675159_g20164_i0.p1']	1
1298	glyoxylate reductase [EC:1.1.1.26]	['NODE_61696_length_828_cov_546.675159_g20164_i0.p1']	1
1296	glycosyltransferase 2 family protein	['NODE_22034_length_2744_cov_650.165494_g2798_i7.p2']	1
1295	glycoside/pentoside/hexuronide:cation symporter, GPH family	['NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	1
1294	glycogenin [EC:2.4.1.186]	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1']	1
1291	glutamate:Na+ symporter, ESS family	['NODE_40297_length_1668_cov_702.177231_g1000_i10.p1']	1
1289	glutamate synthase (NADH) [EC:1.4.1.14]	['NODE_43348_length_1531_cov_699.911962_g11699_i0.p1']	1
1288	glutamate receptor ionotropic, NMDA 3B	['NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	1
1286	glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1']	1
1285	glucan endo-1,3-beta-D-glucosidase [EC:3.2.1.39]	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2']	1
1430	interphotoreceptor matrix proteoglycan 2	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1']	1
1433	intracellular multiplication protein IcmG	['NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	1
1435	intraflagellar transport protein 122	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1543	limbic system-associated membrane protein	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1602	membrane-associated protein	['NODE_40297_length_1668_cov_702.177231_g1000_i10.p1']	1
1600	membrane fusion protein, peptide pheromone/bacteriocin exporter	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1']	1
1598	membrane fusion protein, macrolide-specific efflux system	['NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	1
1593	member of the syntaxin family of t-SNAREs	['NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	1
1592	melanoma cell adhesion molecule	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1590	meiosis-specific protein	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	1
1589	meiosis-specific APC/C activator protein AMA1	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1587	meiosis arrest female protein 1	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1']	1
1586	meiosis 1 arrest protein	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2']	1
1584	mediator of RNA polymerase II transcription subunit 3	['NODE_56578_length_997_cov_553.798742_g17185_i0.p1']	1
1582	matrix metalloproteinase-23 (CA-MMP) [EC:3.4.24.-]	['NODE_56699_length_993_cov_366.912632_g11784_i3.p1']	1
1578	maternal effect protein oskar	['NODE_60533_length_865_cov_411.037713_g19428_i0.p2']	1
1576	mannose PTS system EIID component	['NODE_29204_length_2258_cov_432.055079_g10_i7406.p1']	1
1575	mannose PTS system EIIBCA component [EC:2.7.1.191]	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	1
1574	manganese/zinc/iron transport system permease protein	['NODE_6252_length_5011_cov_712.653986_g1467_i0.p2']	1
1571	malonate decarboxylase beta subunit [EC:4.1.1.87]	['NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	1
1569	magnesium/proton exchanger	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	1
1568	magnesium chelatase subunit D [EC:6.6.1.1]	['NODE_56578_length_997_cov_553.798742_g17185_i0.p4']	1
1564	mRNA-capping enzyme [EC:2.7.7.50 3.6.1.74]	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1562	mRNA export factor	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1561	lysosomal-trafficking regulator	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1558	lymphocyte-activation gene 3 protein	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1555	low-density lipoprotein receptor-related protein 1B	['NODE_48268_length_1320_cov_237.943618_g4427_i2.p1']	1
1552	low affinity immunoglobulin epsilon Fc receptor	['NODE_9182_length_4279_cov_219.650378_g2172_i0.p1']	1
1549	liprin-beta	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1']	1
1546	lipopolysaccharide-induced tumor necrosis factor-alpha factor	['NODE_56578_length_997_cov_553.798742_g17185_i0.p4']	1
1545	lipoma-prefererred partner	['NODE_70819_length_582_cov_601.601113_g27209_i0.p1']	1
1605	meprin B [EC:3.4.24.63]	['NODE_56699_length_993_cov_366.912632_g11784_i3.p1']	1
1606	merlin	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1']	1
1607	merozoite surface protein 1	['NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	1
1667	mitogen-activated protein kinase kinase kinase kinase 4 [EC:2.7.11.1]	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1']	1
1705	muscarinic acetylcholine receptor M5	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	1
1696	multimerin	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1']	1
1694	multicomponent Na+:H+ antiporter subunit C	['NODE_22034_length_2744_cov_650.165494_g2798_i7.p1']	1
1693	mucosa-associated lymphoid tissue lymphoma translocation protein 1 [EC:3.4.22.-]	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1691	mucin-5	['NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	1
1687	mucin-16	['NODE_58150_length_945_cov_507.737317_g18038_i0.p1']	1
1686	mucin-15	['NODE_56578_length_997_cov_553.798742_g17185_i0.p1']	1
1683	mucin TcMUCII	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	1
1682	morphogenetic protein associated with SpoVID	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1681	molecular chaperone HtpG	['NODE_22034_length_2744_cov_650.165494_g2798_i7.p1']	1
1677	moesin	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1']	1
1669	mitogen-activated protein kinase organizer 1	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1641	mitogen-activated protein kinase kinase 4 [EC:2.7.12.2]	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1608	merozoite surface protein 4	['NODE_40297_length_1668_cov_702.177231_g1000_i10.p1']	1
1625	mitochondrial ornithine carrier protein	['NODE_41562_length_1609_cov_628.891443_g11089_i0.p1']	1
1624	mitochondrial fusion and transport protein UGO1	['NODE_41562_length_1609_cov_628.891443_g11089_i0.p1']	1
1623	mitochondrial division protein 1	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1622	mitochondrial distribution and morphology protein 31	['NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	1
1621	mitochondrial carrier	['NODE_41562_length_1609_cov_628.891443_g11089_i0.p1']	1
1619	mitochondrial Rho GTPase 1 [EC:3.6.5.-]	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1']	1
1616	microtubule-associated protein tau	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1']	1
1613	microfibrillar-associated protein 3-like	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1612	microfibrillar-associated protein 3	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1611	methylosome protein 50	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1610	methyl-accepting chemotaxis protein II, aspartate sensor receptor	['NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	1
1609	methenyltetrahydrofolate synthase domain-containing protein	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1']	1
1544	linearmycin/streptolysin S transport system permease protein	['NODE_6252_length_5011_cov_712.653986_g1467_i0.p7']	1
1540	leupaxin	['NODE_70819_length_582_cov_601.601113_g27209_i0.p1']	1
1436	intraflagellar transport protein 140	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1538	leucine-zipper-like transcriptional regulator 1	['NODE_5457_length_5280_cov_726.572656_g1281_i0.p5']	1
1501	large subunit ribosomal protein L22	['NODE_61696_length_828_cov_546.675159_g20164_i0.p1']	1
1500	large subunit ribosomal protein L21e	['NODE_31165_length_2141_cov_253.361296_g10_i7766.p1']	1
1499	large subunit ribosomal protein L2	['NODE_46002_length_1415_cov_520.762391_g11331_i1.p1']	1
1498	large subunit ribosomal protein L17e	['NODE_61696_length_828_cov_546.675159_g20164_i0.p1']	1
1497	large subunit ribosomal protein L15	['NODE_63499_length_773_cov_516.069863_g21381_i0.p1']	1
1496	large subunit ribosomal protein L13Ae	['NODE_30737_length_2167_cov_346.659134_g2799_i24.p2']	1
1495	large subunit ribosomal protein L13	['NODE_30737_length_2167_cov_346.659134_g2799_i24.p2']	1
1494	large subunit ribosomal protein L10e	['NODE_82740_length_384_cov_620.351906_g38768_i0.p1']	1
1481	lactocepin [EC:3.4.21.96]	['NODE_22759_length_2692_cov_533.601359_g2390_i6.p1']	1
1480	la-related protein 6	['NODE_20726_length_2850_cov_705.433915_g830_i19.p1']	1
1473	kinesin family member C2/C3	['NODE_51256_length_1198_cov_554.492641_g9873_i1.p1']	1
1471	kinesin family member 7	['NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	1
1470	kinesin family member 6/9	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1']	1
1464	kinesin family member 21	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1462	kinesin family member 18B	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	1
1456	kinase insert domain protein receptor [EC:2.7.10.1]	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1453	kekkon-1	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1452	katanin p80 WD40 repeat-containing subunit B1	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1450	juvenile hormone diol kinase	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1']	1
1449	junctophilin	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1']	1
1448	junctional adhesion molecule 1	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1447	jouberin	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1444	iron-regulated surface determinant protein A	['NODE_28716_length_2288_cov_302.936748_g5989_i4.p2']	1
1443	inverted formin-2	['NODE_56578_length_997_cov_553.798742_g17185_i0.p4']	1
1440	intraflagellar transport protein 80	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1438	intraflagellar transport protein 57	['NODE_28026_length_2330_cov_387.234368_g10_i7182.p1']	1
1437	intraflagellar transport protein 172	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1502	large subunit ribosomal protein L23	['NODE_54954_length_1055_cov_409.199605_g10_i11483.p1']	1
1503	large subunit ribosomal protein L23Ae	['NODE_54954_length_1055_cov_409.199605_g10_i11483.p1']	1
1504	large subunit ribosomal protein L24	['NODE_71360_length_570_cov_804.548387_g27693_i0.p1']	1
1523	leucine-rich repeat and WD repeat-containing protein 1	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1537	leucine-rich repeats and immunoglobulin-like domains protein 2	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1536	leucine-rich repeats and immunoglobulin-like domains protein 1/3	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1535	leucine-rich repeat-containing protein 45	['NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	1
1534	leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1533	leucine-rich repeat neuronal protein 4	['NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	1
1532	leucine-rich repeat neuronal protein 1/2/3	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1530	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1529	leucine-rich repeat and fibronectin type-III domain-containing protein 5	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1528	leucine-rich repeat and fibronectin type-III domain-containing protein 4	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1527	leucine-rich repeat and fibronectin type-III domain-containing protein 3	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1526	leucine-rich repeat and fibronectin type-III domain-containing protein 2	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1525	leucine-rich repeat and fibronectin type-III domain-containing protein 1	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1520	leucine efflux protein	['NODE_69856_length_604_cov_410.035651_g26341_i0.p1']	1
1505	large subunit ribosomal protein L26e	['NODE_71360_length_570_cov_804.548387_g27693_i0.p1']	1
1519	lethal(2) giant larvae protein	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
1516	large subunit ribosomal protein L9e	['NODE_49588_length_1267_cov_412.614379_g3624_i2.p1']	1
1515	large subunit ribosomal protein L8e	['NODE_46002_length_1415_cov_520.762391_g11331_i1.p1']	1
1514	large subunit ribosomal protein L7A	['NODE_75540_length_489_cov_626.291480_g31640_i0.p1']	1
1513	large subunit ribosomal protein L6	['NODE_49588_length_1267_cov_412.614379_g3624_i2.p1']	1
1512	large subunit ribosomal protein L4e	['NODE_41737_length_1601_cov_646.466624_g8323_i4.p1']	1
1511	large subunit ribosomal protein L40	['NODE_58924_length_919_cov_749.850457_g11246_i5.p1']	1
1510	large subunit ribosomal protein L4	['NODE_41737_length_1601_cov_646.466624_g8323_i4.p1']	1
1509	large subunit ribosomal protein L3e	['NODE_37553_length_1800_cov_507.122368_g1052_i7.p1']	1
1508	large subunit ribosomal protein L37Ae	['NODE_71137_length_575_cov_413.902256_g27494_i0.p1']	1
1507	large subunit ribosomal protein L3	['NODE_37553_length_1800_cov_507.122368_g1052_i7.p1']	1
1506	large subunit ribosomal protein L27Ae	['NODE_63499_length_773_cov_516.069863_g21381_i0.p1']	1
1230	fibroblast growth factor receptor 2 [EC:2.7.10.1]	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1229	fibroblast growth factor receptor 1 [EC:2.7.10.1]	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
1225	ferritin-like protein 2	['NODE_60195_length_876_cov_639.110444_g19232_i0.p1']	1
811	calcium-binding and coiled-coil domain-containing protein 2	['NODE_44334_length_1487_cov_299.011080_g12045_i0.p1']	1
881	cell division control protein 12	['NODE_82829_length_383_cov_463.729412_g38857_i0.p1']	1
878	cell cycle checkpoint control protein RAD9A [EC:3.1.11.2]	['NODE_48839_length_1294_cov_532.666667_g13701_i0.p2']	1
877	cell cycle arrest protein BUB3	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
875	cell adhesion molecule-related/down-regulated by oncogenes	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
874	cell adhesion molecule 4	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
873	cell adhesion molecule 3	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
872	cell adhesion molecule 2	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
853	catabolite repression protein CreC	['NODE_36640_length_1843_cov_557.651111_g10_i8773.p1']	1
852	cat eye syndrome critical region protein 2	['NODE_61938_length_821_cov_78.356041_g20323_i0.p2']	1
851	caspase recruitment domain-containing protein 6	['NODE_61938_length_821_cov_78.356041_g20323_i0.p1']	1
848	casein kinase I homolog HRR25 [EC:2.7.11.1]	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
847	casein kinase 1, epsilon [EC:2.7.11.1]	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
846	casein kinase 1, delta [EC:2.7.11.1]	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
844	casein kinase 1 [EC:2.7.11.1]	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
843	cartilage intermediate layer protein	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
841	cardiomyopathy-associated protein 5	['NODE_18392_length_3058_cov_639.920730_g134_i6.p1']	1
840	carcinoembryonic antigen-related cell adhesion molecule	['NODE_39135_length_1724_cov_496.291493_g9155_i1.p1']	1
836	calumenin	['NODE_36564_length_1847_cov_588.473947_g5221_i1.p1']	1
835	calsequestrin 1	['NODE_54812_length_1061_cov_16.372299_g16298_i0.p2']	1
833	calpain-9 [EC:3.4.22.-]	['NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	1
832	calpain-8 [EC:3.4.22.-]	['NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	1
831	calpain-3 [EC:3.4.22.54]	['NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	1
830	calpain-2 [EC:3.4.22.53]	['NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	1
829	calpain-1 [EC:3.4.22.52]	['NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	1
828	calpain, small subunit 2	['NODE_55067_length_1051_cov_242.860119_g10346_i5.p1']	1
